stratum_id,route,trait_class,outcome_class,effect_metric,design_class,min_clusters_exploratory,min_clusters_stability,expected_effect_direction,part_i_parameter,interpretation
AP_visual_visitation_lrr_observational,A_to_pollination,visual_signal,visitation_rate,log_response_ratio,observational,3,5,positive,b_A,Greater visual attraction relative to reference is associated with higher visitation
AP_visual_pollination_lrr_observational,A_to_pollination,visual_signal,pollination_success,log_response_ratio,observational,3,5,positive,b_A,Greater visual attraction relative to reference is associated with higher declared pollination success
AP_scent_visitation_lrr_observational,A_to_pollination,scent,visitation_rate,log_response_ratio,observational,3,5,positive,b_A,Greater scent relative to reference is associated with higher visitation
AP_reward_visitation_lrr_observational,A_to_pollination,reward,visitation_rate,log_response_ratio,observational,3,5,positive,b_A,Greater reward relative to reference is associated with higher visitation
AH_visual_damage_logor_observational,A_to_antagonism,visual_signal,floral_damage_proportion,log_odds_ratio,observational,3,5,positive,d_A,Greater visual attraction relative to reference is associated with higher floral-damage odds
AH_scent_damage_logor_observational,A_to_antagonism,scent,floral_damage_proportion,log_odds_ratio,observational,3,5,positive,d_A,Greater scent relative to reference is associated with higher floral-damage odds
BH_chemical_florivory_lrr_manipulation,B_to_antagonism,chemical_barrier,florivore_abundance,log_response_ratio,manipulation,3,5,negative,e_F,Greater flower chemical barrier relative to reference is associated with lower florivore abundance
BH_chemical_damage_logor_manipulation,B_to_antagonism,chemical_barrier,floral_damage_proportion,log_odds_ratio,manipulation,3,5,negative,e_F,Greater flower chemical barrier relative to reference is associated with lower floral-damage odds
BH_physical_florivory_lrr_manipulation,B_to_antagonism,physical_barrier,florivore_abundance,log_response_ratio,manipulation,3,5,negative,e_F,Greater physical flower barrier relative to reference is associated with lower florivore abundance
BP_chemical_visitation_lrr_manipulation,B_to_pollination,chemical_barrier,visitation_rate,log_response_ratio,manipulation,3,5,negative,c_D,Greater flower chemical barrier relative to reference is associated with lower visitation
BP_physical_visitation_lrr_manipulation,B_to_pollination,physical_barrier,visitation_rate,log_response_ratio,manipulation,3,5,negative,c_D,Greater physical flower barrier relative to reference is associated with lower visitation
HF_larceny_female_lrr_comparative,H_to_fitness,nectar_larceny,female_reproductive_success,log_response_ratio,comparative,3,5,negative,H,Exposure to nectar larceny relative to an unexposed control is associated with lower female reproductive success; under bridge assumption B2 a non-zero negative pooled effect is what opens the multiplicative H gate on the antagonist-relief channel
HP_larceny_visitation_lrr_comparative,H_to_pollination,nectar_larceny,visitation_rate,log_response_ratio,comparative,3,5,negative,P_exogeneity_audit,Exposure to nectar larceny relative to an unexposed control is associated with lower legitimate visitation; this is an audit of the corollary's assumption that pollinator service P is exogenous to antagonist pressure H and is not a channel estimate
HR_larceny_nectar_lrr_comparative,H_to_reward,nectar_larceny,nectar_standing_crop,log_response_ratio,comparative,3,5,negative,H_mechanism,Exposure to nectar larceny relative to an unexposed control is associated with lower nectar standing crop; the declared mechanism linking the larceny exposure to any change in visitation
HF_larceny_male_lrr_comparative,H_to_fitness,nectar_larceny,male_reproductive_success,log_response_ratio,comparative,3,5,negative,H,Exposure to nectar larceny relative to an unexposed control is associated with lower male reproductive success; the secondary fitness component of the same H gate
