effect_id,study_id,study_cluster_id,doi,taxon,route,trait_role,trait_class,outcome_class,design_class,effect_input_type,effect_metric,effect_value,standard_error,n_treatment,n_control,mean_treatment,sd_treatment,mean_control,sd_control,event_treatment,non_event_treatment,event_control,non_event_control,correlation_r,n_total,effect_orientation,is_primary_effect,analysis_status,source_basis,source_locator,extraction_note
LGF_Andaloetal2019,Andaloetal2019,Andaloetal2019,,Antirrhinum_valentinum,H_to_fitness,H,nectar_larceny,female_reproductive_success,comparative,reported_effect,log_response_ratio,-0.04989901093,0.2577295313,25.5,22.5,,,,,,,,,,48,positive_is_more_declared_trait_more_declared_outcome,true,eligible_for_quantitative_synthesis,deposited_effect_size_table_of_published_synthesis,https://github.com/lacaleal/Meta-analysis_larcenists@04663ff895b300fc957c4a32f661e5f73ca95217:complete_hedges.csv rows[sample]=1;2;3;4; synthesis_doi=10.1002/ecy.70036; primary_study_label=Andaloetal2019,"Recomputed as ln(mean_larcenist/mean_control) from deposited group means; 4 deposited effect(s) aggregated to one cluster effect at within-cluster correlation rho_w=1. Experimental unit is the unit the source study reported n over; n_treatment/n_control are means across the constituent contrasts, which may share plants, so they are not summed. Secondary analysis of a deposited table; not an independent extraction from the primary article. Primary-study DOI unresolved: Crossref and OpenAlex are refused by this environment's egress policy, so no identifier is guessed."
LGF_Arizmendieetal1996,Arizmendieetal1996,Arizmendieetal1996,,Salvia_mexicana,H_to_fitness,H,nectar_larceny,female_reproductive_success,comparative,reported_effect,log_response_ratio,-1.021651248,0.2587262245,30,30,,,,,,,,,,60,positive_is_more_declared_trait_more_declared_outcome,true,eligible_for_quantitative_synthesis,deposited_effect_size_table_of_published_synthesis,https://github.com/lacaleal/Meta-analysis_larcenists@04663ff895b300fc957c4a32f661e5f73ca95217:complete_hedges.csv rows[sample]=5; synthesis_doi=10.1002/ecy.70036; primary_study_label=Arizmendieetal1996,"Recomputed as ln(mean_larcenist/mean_control) from deposited group means; 1 deposited effect(s) aggregated to one cluster effect at within-cluster correlation rho_w=1. Experimental unit is the unit the source study reported n over; n_treatment/n_control are means across the constituent contrasts, which may share plants, so they are not summed. Secondary analysis of a deposited table; not an independent extraction from the primary article. Primary-study DOI unresolved: Crossref and OpenAlex are refused by this environment's egress policy, so no identifier is guessed."
LGF_Bergamo&Sazima2018,Bergamo&Sazima2018,Bergamo&Sazima2018,,multiple_species:2,H_to_fitness,H,nectar_larceny,female_reproductive_success,comparative,reported_effect,log_response_ratio,-0.1327105647,0.04667054056,30,30,,,,,,,,,,60,positive_is_more_declared_trait_more_declared_outcome,true,eligible_for_quantitative_synthesis,deposited_effect_size_table_of_published_synthesis,https://github.com/lacaleal/Meta-analysis_larcenists@04663ff895b300fc957c4a32f661e5f73ca95217:complete_hedges.csv rows[sample]=8;9; synthesis_doi=10.1002/ecy.70036; primary_study_label=Bergamo&Sazima2018,"Recomputed as ln(mean_larcenist/mean_control) from deposited group means; 2 deposited effect(s) aggregated to one cluster effect at within-cluster correlation rho_w=1. Experimental unit is the unit the source study reported n over; n_treatment/n_control are means across the constituent contrasts, which may share plants, so they are not summed. Secondary analysis of a deposited table; not an independent extraction from the primary article. Primary-study DOI unresolved: Crossref and OpenAlex are refused by this environment's egress policy, so no identifier is guessed."
LGF_Brodyetal2008,Brodyetal2008,Brodyetal2008,,Ipomopis_aggregata,H_to_fitness,H,nectar_larceny,female_reproductive_success,comparative,reported_effect,log_response_ratio,-0.3602512153,0.0443309636,18.36363636,18.18181818,,,,,,,,,,36.54545455,positive_is_more_declared_trait_more_declared_outcome,true,eligible_for_quantitative_synthesis,deposited_effect_size_table_of_published_synthesis,https://github.com/lacaleal/Meta-analysis_larcenists@04663ff895b300fc957c4a32f661e5f73ca95217:complete_hedges.csv rows[sample]=10;11;12;13;14;15;16;17;18;19;20; synthesis_doi=10.1002/ecy.70036; primary_study_label=Brodyetal2008,"Recomputed as ln(mean_larcenist/mean_control) from deposited group means; 11 deposited effect(s) aggregated to one cluster effect at within-cluster correlation rho_w=1. Experimental unit is the unit the source study reported n over; n_treatment/n_control are means across the constituent contrasts, which may share plants, so they are not summed. Secondary analysis of a deposited table; not an independent extraction from the primary article. Primary-study DOI unresolved: Crossref and OpenAlex are refused by this environment's egress policy, so no identifier is guessed."
LGF_Burkleetal_2007,Burkleetal_2007,Burkleetal_2007,,multiple_species:2,H_to_fitness,H,nectar_larceny,female_reproductive_success,comparative,reported_effect,log_response_ratio,-0.184785042,0.02685274066,22,20.85714286,,,,,,,,,,42.85714286,positive_is_more_declared_trait_more_declared_outcome,true,eligible_for_quantitative_synthesis,deposited_effect_size_table_of_published_synthesis,https://github.com/lacaleal/Meta-analysis_larcenists@04663ff895b300fc957c4a32f661e5f73ca95217:complete_hedges.csv rows[sample]=21;22;23;24;265;266;267; synthesis_doi=10.1002/ecy.70036; primary_study_label=Burkleetal_2007,"Recomputed as ln(mean_larcenist/mean_control) from deposited group means; 7 deposited effect(s) aggregated to one cluster effect at within-cluster correlation rho_w=1. Experimental unit is the unit the source study reported n over; n_treatment/n_control are means across the constituent contrasts, which may share plants, so they are not summed. Secondary analysis of a deposited table; not an independent extraction from the primary article. Primary-study DOI unresolved: Crossref and OpenAlex are refused by this environment's egress policy, so no identifier is guessed."
LGF_Carrio&Guemes2019,Carrio&Guemes2019,Carrio&Guemes2019,,Antirrhinum_valentinum,H_to_fitness,H,nectar_larceny,female_reproductive_success,comparative,reported_effect,log_response_ratio,0.02142646585,0.06361963615,20,20,,,,,,,,,,40,positive_is_more_declared_trait_more_declared_outcome,true,eligible_for_quantitative_synthesis,deposited_effect_size_table_of_published_synthesis,https://github.com/lacaleal/Meta-analysis_larcenists@04663ff895b300fc957c4a32f661e5f73ca95217:complete_hedges.csv rows[sample]=28;29;30;31;32;33; synthesis_doi=10.1002/ecy.70036; primary_study_label=Carrio&Guemes2019,"Recomputed as ln(mean_larcenist/mean_control) from deposited group means; 6 deposited effect(s) aggregated to one cluster effect at within-cluster correlation rho_w=1. Experimental unit is the unit the source study reported n over; n_treatment/n_control are means across the constituent contrasts, which may share plants, so they are not summed. Secondary analysis of a deposited table; not an independent extraction from the primary article. Primary-study DOI unresolved: Crossref and OpenAlex are refused by this environment's egress policy, so no identifier is guessed."
LGF_Castroetal_2008,Castroetal_2008,Castroetal_2008,,Polygala_vayredae,H_to_fitness,H,nectar_larceny,female_reproductive_success,comparative,reported_effect,log_response_ratio,-0.04599940825,0.01570917387,200,200,,,,,,,,,,400,positive_is_more_declared_trait_more_declared_outcome,true,eligible_for_quantitative_synthesis,deposited_effect_size_table_of_published_synthesis,https://github.com/lacaleal/Meta-analysis_larcenists@04663ff895b300fc957c4a32f661e5f73ca95217:complete_hedges.csv rows[sample]=34; synthesis_doi=10.1002/ecy.70036; primary_study_label=Castroetal_2008,"Recomputed as ln(mean_larcenist/mean_control) from deposited group means; 1 deposited effect(s) aggregated to one cluster effect at within-cluster correlation rho_w=1. Experimental unit is the unit the source study reported n over; n_treatment/n_control are means across the constituent contrasts, which may share plants, so they are not summed. Secondary analysis of a deposited table; not an independent extraction from the primary article. Primary-study DOI unresolved: Crossref and OpenAlex are refused by this environment's egress policy, so no identifier is guessed."
LGF_Cuevas-Garciaetal2013,Cuevas-Garciaetal2013,Cuevas-Garciaetal2013,,Salvia_gesnerifolia,H_to_fitness,H,nectar_larceny,female_reproductive_success,comparative,reported_effect,log_response_ratio,-0.2967002503,0.1764708408,10,10,,,,,,,,,,20,positive_is_more_declared_trait_more_declared_outcome,true,eligible_for_quantitative_synthesis,deposited_effect_size_table_of_published_synthesis,https://github.com/lacaleal/Meta-analysis_larcenists@04663ff895b300fc957c4a32f661e5f73ca95217:complete_hedges.csv rows[sample]=42;43;44;45;46;47;48;49;50;51; synthesis_doi=10.1002/ecy.70036; primary_study_label=Cuevas-Garciaetal2013,"Recomputed as ln(mean_larcenist/mean_control) from deposited group means; 10 deposited effect(s) aggregated to one cluster effect at within-cluster correlation rho_w=1. Experimental unit is the unit the source study reported n over; n_treatment/n_control are means across the constituent contrasts, which may share plants, so they are not summed. Secondary analysis of a deposited table; not an independent extraction from the primary article. Primary-study DOI unresolved: Crossref and OpenAlex are refused by this environment's egress policy, so no identifier is guessed."
LGF_Dedej&Delaplane_2005,Dedej&Delaplane_2005,Dedej&Delaplane_2005,,Vaccinium_ashei,H_to_fitness,H,nectar_larceny,female_reproductive_success,comparative,reported_effect,log_response_ratio,-0.2106073306,0.06924335559,61.2,60.2,,,,,,,,,,121.4,positive_is_more_declared_trait_more_declared_outcome,true,eligible_for_quantitative_synthesis,deposited_effect_size_table_of_published_synthesis,https://github.com/lacaleal/Meta-analysis_larcenists@04663ff895b300fc957c4a32f661e5f73ca95217:complete_hedges.csv rows[sample]=59;61;62;64;65; synthesis_doi=10.1002/ecy.70036; primary_study_label=Dedej&Delaplane_2005,"Recomputed as ln(mean_larcenist/mean_control) from deposited group means; 5 deposited effect(s) aggregated to one cluster effect at within-cluster correlation rho_w=1. Experimental unit is the unit the source study reported n over; n_treatment/n_control are means across the constituent contrasts, which may share plants, so they are not summed. Secondary analysis of a deposited table; not an independent extraction from the primary article. Primary-study DOI unresolved: Crossref and OpenAlex are refused by this environment's egress policy, so no identifier is guessed."
LGF_Dengetal2004,Dengetal2004,Dengetal2004,,Alpinia_kwangsiensis,H_to_fitness,H,nectar_larceny,female_reproductive_success,comparative,reported_effect,log_response_ratio,-1.774665036,0.2995003947,50,50,,,,,,,,,,100,positive_is_more_declared_trait_more_declared_outcome,true,eligible_for_quantitative_synthesis,deposited_effect_size_table_of_published_synthesis,https://github.com/lacaleal/Meta-analysis_larcenists@04663ff895b300fc957c4a32f661e5f73ca95217:complete_hedges.csv rows[sample]=68; synthesis_doi=10.1002/ecy.70036; primary_study_label=Dengetal2004,"Recomputed as ln(mean_larcenist/mean_control) from deposited group means; 1 deposited effect(s) aggregated to one cluster effect at within-cluster correlation rho_w=1. Experimental unit is the unit the source study reported n over; n_treatment/n_control are means across the constituent contrasts, which may share plants, so they are not summed. Secondary analysis of a deposited table; not an independent extraction from the primary article. Primary-study DOI unresolved: Crossref and OpenAlex are refused by this environment's egress policy, so no identifier is guessed."
