analysis_id,stratum_id,omitted_study_cluster_id,independent_clusters,pooled_effect,ci_low,ci_high,pooled_direction,direction_matches_full_set
larceny_type_female,HF_larceny_female_lrr_comparative,Andaloetal2019,47,-0.2135037336,-0.3557982445,-0.07120922265,negative,true
larceny_type_female,HF_larceny_female_lrr_comparative,Arizmendieetal1996,47,-0.1953518217,-0.3376284413,-0.05307520211,negative,true
larceny_type_female,HF_larceny_female_lrr_comparative,Bergamo&Sazima2018,47,-0.2124950664,-0.3556215993,-0.06936853357,negative,true
larceny_type_female,HF_larceny_female_lrr_comparative,Brodyetal2008,47,-0.2070498162,-0.3506018564,-0.06349777592,negative,true
larceny_type_female,HF_larceny_female_lrr_comparative,Burkleetal_2007,47,-0.211508374,-0.3558543354,-0.06716241268,negative,true
larceny_type_female,HF_larceny_female_lrr_comparative,Carrio&Guemes2019,47,-0.2161016421,-0.3587784783,-0.07342480589,negative,true
larceny_type_female,HF_larceny_female_lrr_comparative,Castroetal_2008,47,-0.2148031343,-0.3586545268,-0.07095174174,negative,true
larceny_type_female,HF_larceny_female_lrr_comparative,Cuevas-Garciaetal2013,47,-0.2086612696,-0.3511895017,-0.06613303749,negative,true
larceny_type_female,HF_larceny_female_lrr_comparative,Dedej&Delaplane_2005,47,-0.2105584764,-0.3534928411,-0.06762411163,negative,true
larceny_type_female,HF_larceny_female_lrr_comparative,Dengetal2004,47,-0.1834939204,-0.3255579476,-0.04142989328,negative,true
larceny_type_female,HF_larceny_female_lrr_comparative,Dengetal_2015,47,-0.2117532252,-0.3547339254,-0.06877252493,negative,true
larceny_type_female,HF_larceny_female_lrr_comparative,Elyiahuetak2015,47,-0.2078697741,-0.3497788576,-0.06596069053,negative,true
larceny_type_female,HF_larceny_female_lrr_comparative,Ferreiraetal2020,47,-0.2057511554,-0.3484237173,-0.06307859344,negative,true
larceny_type_female,HF_larceny_female_lrr_comparative,Fumero-Caban&Melendez-Ackerman_2013,47,-0.2173401855,-0.3598713515,-0.07480901942,negative,true
larceny_type_female,HF_larceny_female_lrr_comparative,Gallen&Butchart2003,47,-0.219103866,-0.3613296101,-0.07687812197,negative,true
larceny_type_female,HF_larceny_female_lrr_comparative,Gelvez-Zuningaetal2016,47,-0.2234051533,-0.3655160058,-0.08129430083,negative,true
larceny_type_female,HF_larceny_female_lrr_comparative,Hansen&Muller2009,47,-0.1923285068,-0.3340816557,-0.05057535787,negative,true
larceny_type_female,HF_larceny_female_lrr_comparative,Hazlehurst&Karubian_2016,47,-0.2159312797,-0.3577521163,-0.07411044315,negative,true
larceny_type_female,HF_larceny_female_lrr_comparative,Heillingetal_2018,47,-0.2153603244,-0.3582035802,-0.07251706854,negative,true
larceny_type_female,HF_larceny_female_lrr_comparative,Higashietal,47,-0.1932978794,-0.3359016659,-0.05069409297,negative,true
larceny_type_female,HF_larceny_female_lrr_comparative,Irwin&Brody1999,47,-0.213217902,-0.3576788392,-0.06875696481,negative,true
larceny_type_female,HF_larceny_female_lrr_comparative,Irwin&Brody2000,47,-0.2316162489,-0.3662486554,-0.09698384243,negative,true
larceny_type_female,HF_larceny_female_lrr_comparative,Irwinetal2015,47,-0.2001389096,-0.3508426458,-0.04943517338,negative,true
larceny_type_female,HF_larceny_female_lrr_comparative,Irwinetal_2008,47,-0.2004261778,-0.3456092879,-0.05524306777,negative,true
larceny_type_female,HF_larceny_female_lrr_comparative,Lara&Ornelas_2001,47,-0.2129869945,-0.3575300937,-0.06844389536,negative,true
larceny_type_female,HF_larceny_female_lrr_comparative,Lasso&Naranjo_2003,47,-0.2102657946,-0.3542742227,-0.06625736651,negative,true
larceny_type_female,HF_larceny_female_lrr_comparative,MacDade&Weeks2004,47,-0.2163987008,-0.3590531662,-0.07374423547,negative,true
larceny_type_female,HF_larceny_female_lrr_comparative,Mackinetal_2021,47,-0.2052827694,-0.3537309807,-0.05683455817,negative,true
larceny_type_female,HF_larceny_female_lrr_comparative,Mallof_2001,47,-0.2182384142,-0.3607777474,-0.07569908099,negative,true
larceny_type_female,HF_larceny_female_lrr_comparative,Mayeretal_2014,47,-0.2148395137,-0.3579956748,-0.07168335262,negative,true
larceny_type_female,HF_larceny_female_lrr_comparative,McDonald&Caruso2019,47,-0.2151348482,-0.3582702662,-0.07199943012,negative,true
larceny_type_female,HF_larceny_female_lrr_comparative,Morris_1996,47,-0.2166017793,-0.3591124095,-0.07409114915,negative,true
larceny_type_female,HF_larceny_female_lrr_comparative,Pelayoetal2011,47,-0.227609753,-0.3698598627,-0.08535964322,negative,true
larceny_type_female,HF_larceny_female_lrr_comparative,Quinalhaetal2017,47,-0.2082728255,-0.3493983885,-0.06714726248,negative,true
larceny_type_female,HF_larceny_female_lrr_comparative,Richardson_2004,47,-0.2073916596,-0.3485800837,-0.06620323555,negative,true
larceny_type_female,HF_larceny_female_lrr_comparative,Richmanetal_2018,47,-0.2044116634,-0.3470780269,-0.06174529982,negative,true
larceny_type_female,HF_larceny_female_lrr_comparative,Rojas-Nossaetal2016,47,-0.181137115,-0.2886805982,-0.07359363185,negative,true
larceny_type_female,HF_larceny_female_lrr_comparative,Santosetal2020,47,-0.215609846,-0.35822021,-0.07299948208,negative,true
larceny_type_female,HF_larceny_female_lrr_comparative,Tameles&Pan_2022,47,-0.2141736044,-0.3565777656,-0.07176944327,negative,true
larceny_type_female,HF_larceny_female_lrr_comparative,Travesetetal1998,47,-0.2102947917,-0.3534179762,-0.06717160723,negative,true
