analysis_id,stratum_id,moderator_name,moderator_type,analysis_status,term,coefficient,model_standard_error,cluster_robust_standard_error,primary_standard_error,standard_error_basis,ci_low,ci_high,t_value,degrees_of_freedom,two_sided_p_value
larceny_type_female,HF_larceny_female_lrr_comparative,larcenist_type,categorical,random_effects_meta_regression,intercept,-0.1726654085,0.07577452058,0.05857795824,0.07577452058,model_based_random_effects,-0.3251916074,-0.02013920948,-2.278673717,46,0.02737600408
larceny_type_female,HF_larceny_female_lrr_comparative,larcenist_type,categorical,random_effects_meta_regression,level[nectar_theft]-vs-[nectar_robbing],-0.3236304226,0.2225242869,0.297030198,0.2225242869,model_based_random_effects,-0.7715485804,0.1242877351,-1.454360003,46,0.1526363282
larceny_assurance_female,HF_larceny_female_lrr_comparative,reproductive_assurance,categorical,random_effects_meta_regression,intercept,-0.06142763607,0.1301083631,0.1112256265,0.1301083631,model_based_random_effects,-0.3234793311,0.200624059,-0.4721267304,45,0.6391178781
larceny_assurance_female,HF_larceny_female_lrr_comparative,reproductive_assurance,categorical,random_effects_meta_regression,level[self_compatible]-vs-[self_incompatible],-0.2294894618,0.1593922365,0.1345194243,0.1593922365,model_based_random_effects,-0.5505219056,0.091542982,-1.439778165,45,0.1568510862
larceny_assignment_female,HF_larceny_female_lrr_comparative,larceny_assignment,categorical,random_effects_meta_regression,intercept,-0.2599612032,0.1138067486,0.1028420159,0.1138067486,model_based_random_effects,-0.4896325203,-0.03028988612,-2.284233636,42,0.0274773987
larceny_assignment_female,HF_larceny_female_lrr_comparative,larceny_assignment,categorical,random_effects_meta_regression,level[observational_contrast]-vs-[experimental_manipulation],0.05984890268,0.1507115152,0.1370315299,0.1507115152,model_based_random_effects,-0.2442992486,0.3639970539,0.3971090238,42,0.6932979417
larceny_players_female,HF_larceny_female_lrr_comparative,interaction_players,categorical,random_effects_meta_regression,intercept,-0.160639141,0.1237498725,0.08115267852,0.1237498725,model_based_random_effects,-0.4121291401,0.09085085797,-1.298095406,34,0.2029916638
larceny_players_female,HF_larceny_female_lrr_comparative,interaction_players,categorical,random_effects_meta_regression,level[bird_bird]-vs-[insect_insect],-0.007676189258,0.2347891896,0.1787138817,0.2347891896,model_based_random_effects,-0.4848252306,0.4694728521,-0.03269396378,34,0.9741098171
larceny_players_female,HF_larceny_female_lrr_comparative,interaction_players,categorical,random_effects_meta_regression,level[insect_bird]-vs-[insect_insect],-0.02024530561,0.2059163217,0.1670142444,0.2059163217,model_based_random_effects,-0.4387176197,0.3982270085,-0.09831811992,34,0.9222570486
larceny_type_visitation,HP_larceny_visitation_lrr_comparative,larcenist_type,categorical,random_effects_meta_regression,intercept,-0.201005683,0.1423810973,0.1689743769,0.1423810973,model_based_random_effects,-0.4990127447,0.09700137857,-1.411744163,19,0.1741931013
larceny_type_visitation,HP_larceny_visitation_lrr_comparative,larcenist_type,categorical,random_effects_meta_regression,level[nectar_theft]-vs-[nectar_robbing],-0.2081202551,0.2893336784,0.2793651267,0.2893336784,model_based_random_effects,-0.8137026037,0.3974620935,-0.7193087797,19,0.4807052278
larceny_type_nectar,HR_larceny_nectar_lrr_comparative,larcenist_type,categorical,random_effects_meta_regression,intercept,-0.534188775,0.1747514148,0.1958219448,0.1747514148,model_based_random_effects,-0.8933954526,-0.1749820974,-3.0568495,26,0.005124473442
larceny_type_nectar,HR_larceny_nectar_lrr_comparative,larcenist_type,categorical,random_effects_meta_regression,level[nectar_theft]-vs-[nectar_robbing],0.1766495271,0.3544256591,0.2293483293,0.3544256591,model_based_random_effects,-0.551882849,0.9051819031,0.4984106612,26,0.6223848891
