species,dose_ng_per_uL,dose_context,n_bees,alive_n,sick_n,dead_n,mortality_percent,sick_or_dead_percent,response_code_basis,analysis_role
Bombus griseocollis,0.0,control,10,10,0,0,0,0,"0=dead, 1=alive/not sick, 2=sick; validated against source-reported 45% and 90% B. impatiens mortality and 0% and 15% B. griseocollis mortality at 1000 and 2000 ng/uL",dose_context_only_not_pollinator_use_effect
Bombus griseocollis,25.0,within_reported_natural_range,10,10,0,0,0,0,"0=dead, 1=alive/not sick, 2=sick; validated against source-reported 45% and 90% B. impatiens mortality and 0% and 15% B. griseocollis mortality at 1000 and 2000 ng/uL",dose_context_only_not_pollinator_use_effect
Bombus griseocollis,100.0,upper_reported_natural_range,10,10,0,0,0,0,"0=dead, 1=alive/not sick, 2=sick; validated against source-reported 45% and 90% B. impatiens mortality and 0% and 15% B. griseocollis mortality at 1000 and 2000 ng/uL",dose_context_only_not_pollinator_use_effect
Bombus griseocollis,500.0,elevated_toxicity_assay,10,10,0,0,0,0,"0=dead, 1=alive/not sick, 2=sick; validated against source-reported 45% and 90% B. impatiens mortality and 0% and 15% B. griseocollis mortality at 1000 and 2000 ng/uL",dose_context_only_not_pollinator_use_effect
Bombus griseocollis,1000.0,supra_natural_toxicity_range,20,19,1,0,0,5,"0=dead, 1=alive/not sick, 2=sick; validated against source-reported 45% and 90% B. impatiens mortality and 0% and 15% B. griseocollis mortality at 1000 and 2000 ng/uL",dose_context_only_not_pollinator_use_effect
Bombus griseocollis,2000.0,elevated_toxicity_assay,20,10,7,3,15,50,"0=dead, 1=alive/not sick, 2=sick; validated against source-reported 45% and 90% B. impatiens mortality and 0% and 15% B. griseocollis mortality at 1000 and 2000 ng/uL",dose_context_only_not_pollinator_use_effect
Bombus impatiens,0.0,control,20,19,0,1,5,5,"0=dead, 1=alive/not sick, 2=sick; validated against source-reported 45% and 90% B. impatiens mortality and 0% and 15% B. griseocollis mortality at 1000 and 2000 ng/uL",dose_context_only_not_pollinator_use_effect
Bombus impatiens,25.0,within_reported_natural_range,20,16,0,4,20,20,"0=dead, 1=alive/not sick, 2=sick; validated against source-reported 45% and 90% B. impatiens mortality and 0% and 15% B. griseocollis mortality at 1000 and 2000 ng/uL",dose_context_only_not_pollinator_use_effect
Bombus impatiens,100.0,upper_reported_natural_range,20,17,0,3,15,15,"0=dead, 1=alive/not sick, 2=sick; validated against source-reported 45% and 90% B. impatiens mortality and 0% and 15% B. griseocollis mortality at 1000 and 2000 ng/uL",dose_context_only_not_pollinator_use_effect
Bombus impatiens,500.0,elevated_toxicity_assay,20,11,4,5,25,45,"0=dead, 1=alive/not sick, 2=sick; validated against source-reported 45% and 90% B. impatiens mortality and 0% and 15% B. griseocollis mortality at 1000 and 2000 ng/uL",dose_context_only_not_pollinator_use_effect
Bombus impatiens,1000.0,supra_natural_toxicity_range,20,6,5,9,45,70,"0=dead, 1=alive/not sick, 2=sick; validated against source-reported 45% and 90% B. impatiens mortality and 0% and 15% B. griseocollis mortality at 1000 and 2000 ng/uL",dose_context_only_not_pollinator_use_effect
Bombus impatiens,2000.0,elevated_toxicity_assay,20,0,2,18,90,100,"0=dead, 1=alive/not sick, 2=sick; validated against source-reported 45% and 90% B. impatiens mortality and 0% and 15% B. griseocollis mortality at 1000 and 2000 ng/uL",dose_context_only_not_pollinator_use_effect
