source_db,query_id,record_id,doi,title,year,authors,publication,url,search_date
OpenAlex,Q5,https://openalex.org/W2106263507,10.3732/ajb.93.1.64,Correlations among traits associated with herbivore resistance and pollination: implications for pollination and nectar robbing in a distylous plant,2006,Rebecca E. Irwin; Lynn S. Adler,American Journal of Botany,https://doi.org/10.3732/ajb.93.1.64,2026-09-25
OpenAlex,Q5,https://openalex.org/W2111800605,10.1023/a:1011463520398,Reproductive biology and effect of nectar robbing on fruit production in Macleania bullata (Ericaceae),2001,Luis Navarro,Plant Ecology,https://doi.org/10.1023/a:1011463520398,2026-09-25
OpenAlex,Q5,https://openalex.org/W2191936093,10.1111/oik.02685,"Nectar robbing: a common phenomenon mainly determined by accessibility constraints, nectar volume and density of energy rewards",2015,Sandra V. Rojas‐Nossa; José María Sánchez; Luis Navarro,Oikos,https://doi.org/10.1111/oik.02685,2026-09-25
OpenAlex,Q5,https://openalex.org/W2138747635,10.1093/aob/mcj012,Comparison of Pollen Transfer Dynamics by Multiple Floral Visitors: Experiments with Pollen and Fluorescent Dye,2005,Lynn S. Adler; Rebecca E. Irwin,Annals of Botany,https://doi.org/10.1093/aob/mcj012,2026-09-25
OpenAlex,Q5,https://openalex.org/W2020406739,10.1371/journal.pone.0102607,Nectar Robbing Positively Influences the Reproductive Success of Tecomella undulata (Bignoniaceae),2014,Vineet Kumar Singh; Chandan Barman; Rajesh Tandon,PLoS ONE,https://doi.org/10.1371/journal.pone.0102607,2026-09-25
OpenAlex,Q5,https://openalex.org/W2013177683,10.1007/s11284-008-0481-5,"Floral traits variation, legitimate pollination, and nectar robbing in Polygala vayredae (Polygalaceae)",2008,Sílvia Castro; Paulo Cardoso da Silveira; Luis Navarro,Ecological Research,https://doi.org/10.1007/s11284-008-0481-5,2026-09-25
OpenAlex,Q5,https://openalex.org/W2022629354,10.1111/j.1420-9101.2008.01669.x,Selective nectar robbing in a gynodioecious plant (Glechoma longituba) enhances female advantage,2008,Yan‐Wen ZHANG; Chun‐Feng Yang; J.‐M. ZHAO; Y H Guo,Journal of Evolutionary Biology,https://doi.org/10.1111/j.1420-9101.2008.01669.x,2026-09-25
OpenAlex,Q5,https://openalex.org/W1964451750,10.1111/j.1442-1984.2007.00179.x,Effect of Weigela hortensis (Caprifoliaceae) floral morphology on pollinator behavior,2007,Maki N. Inoue; Junko Ushijima; Jun Yokoyama,Plant Species Biology,https://doi.org/10.1111/j.1442-1984.2007.00179.x,2026-09-25
OpenAlex,Q5,https://openalex.org/W2118392058,10.1093/aob/mcr324,Floral traits mediate the vulnerability of aloes to pollen theft and inefficient pollination by bees,2012,Anna L. Hargreaves; Lawrence D. Harder; Steven D. Johnson,Annals of Botany,https://doi.org/10.1093/aob/mcr324,2026-09-25
OpenAlex,Q5,https://openalex.org/W2804358489,10.1002/ajb2.1082,Consequences of secondary nectar robbing for male components of plant reproduction,2018,Sarah Kelley Richman; Rebecca E. Irwin; John T. Bosak; Judith L. Bronstein,American Journal of Botany,https://doi.org/10.1002/ajb2.1082,2026-09-25
OpenAlex,Q5,https://openalex.org/W3104024735,10.1002/ajb2.1559,Light availability influences the intensity of nectar robbery and its effects on reproduction in a tropical shrub via multiple pathways,2020,Gordon M. Fitch; John H. Vandermeer,American Journal of Botany,https://doi.org/10.1002/ajb2.1559,2026-09-25
OpenAlex,Q5,https://openalex.org/W4410500674,10.1111/1365-2745.70067,Soil moisture influences nectar robbing and plant fitness in a primrose species,2025,Yong‐Peng Cha; Rebecca E. Irwin; Yun Wu; Yin‐Mei Ma; Sha Shuang; Zhiqiang Zhang,Journal of Ecology,https://doi.org/10.1111/1365-2745.70067,2026-09-25
OpenAlex,Q5,https://openalex.org/W2128681498,10.1111/jvs.12127,Does competition for pollinators contribute to structuring Erica communities?,2013,A. Heystek; Anton Pauw,Journal of Vegetation Science,https://doi.org/10.1111/jvs.12127,2026-09-25
OpenAlex,Q5,https://openalex.org/W2179371719,10.1111/1365-2664.12530,EDITOR'S CHOICE: REVIEW: Trait matching of flower visitors and crops predicts fruit set better than trait diversity,2015,Lucas A. Garibaldi; Ígnasi Bartomeus; Riccardo Bommarco; Alexandra‐Maria Klein; Saul A. Cunningham; Marcelo A. Aizen; Virginie Boreux; Michael P. D. Garratt; Luísa G. Carvalheiro; Claire Kremen; Carolina Laura Morales; Christof Schüepp; Natacha Paola Chacoff; Breno Magalhães Freitas; Vesna Gagić; Andrea Holzschuh; Björn K. Klatt; Kristin M. Krewenka; Smitha Krishnan; Margaret M. Mayfield; Iris Motzke; Mark Otieno; Jessica D. Petersen; Simon Geoffrey Potts; Taylor H. Ricketts; Maj Rundlöf; Amber R. Sciligo; Palatty Allesh Sinu; Ingolf Steffan‐Dewenter; Hisatomo Taki; Teja Tscharntke; Carlos Vergara; Blandina Felipe Viana; Michał Woyciechowski,Journal of Applied Ecology,https://doi.org/10.1111/1365-2664.12530,2026-09-25
OpenAlex,Q5,https://openalex.org/W3004440386,10.1111/oik.06988,Nectar robbers deter legitimate pollinators by mutilating flowers,2020,Sangeetha Varma; T. P. Rajesh; K. Manoj; Gopalan Asha; Thayyullathil Jobiraj; Palatty Allesh Sinu,Oikos,https://doi.org/10.1111/oik.06988,2026-09-25
