frame_id,dedupe_key,doi,title,year,authors,publication,source_dbs,query_ids,source_record_ids,source_urls,raw_rows_collapsed
bib_285f0c14fc0f16a3,doi:10.1002/ajb2.1082,10.1002/ajb2.1082,Consequences of secondary nectar robbing for male components of plant reproduction,2018,Sarah Kelley Richman; Rebecca E. Irwin; John T. Bosak; Judith L. Bronstein,American Journal of Botany,OpenAlex,Q5,OpenAlex:https://openalex.org/W2804358489,https://doi.org/10.1002/ajb2.1082,1
bib_c5d86de6097c10d1,doi:10.1002/ajb2.1182,10.1002/ajb2.1182,Consequences of multiple flower–insect interactions for subsequent plant–insect interactions and plant reproduction,2018,Nicole L. Soper Gorden; Lynn S. Adler,American Journal of Botany,OpenAlex,Q4|Q5,OpenAlex:https://openalex.org/W2898664981,https://doi.org/10.1002/ajb2.1182,2
bib_479450cf51792322,doi:10.1002/ajb2.1238,10.1002/ajb2.1238,Fitness benefits and costs of floral advertising traits: insights from rayed and rayless phenotypes of Anacyclus (Asteraceae),2019,José Cerca; Alicia B. Agudo; Sílvia Castro; Ana Afonso; Inés Álvarez; Rubén Torices,American Journal of Botany,OpenAlex,Q4|Q5,OpenAlex:https://openalex.org/W2916499439,https://doi.org/10.1002/ajb2.1238,2
bib_f0d01dd1e72b3e96,doi:10.1002/ajb2.1372,10.1002/ajb2.1372,Genotype‐specific effects of ericoid mycorrhizae on floral traits and reproduction in Vaccinium corymbosum,2019,Alison K. Brody; Benjamin F. Waterman; Taylor H. Ricketts; Allyson L. Degrassi; Jonathan B. González; Jeanne M. Harris; Leif L. Richardson,American Journal of Botany,OpenAlex,Q1|Q4|Q5|Q7,OpenAlex:https://openalex.org/W2983184682,https://doi.org/10.1002/ajb2.1372,4
bib_c1cc518860642935,doi:10.1002/ajb2.1499,10.1002/ajb2.1499,Pollination effectiveness of specialist and opportunistic nectar feeders influenced by invasive alien ants in the Seychelles,2020,Francisco Fuster; Christopher N. Kaiser‐Bunbury; Anna Traveset,American Journal of Botany,OpenAlex,Q5,OpenAlex:https://openalex.org/W3037260775,https://doi.org/10.1002/ajb2.1499,1
bib_6d52910902151bfe,doi:10.1002/ajb2.1559,10.1002/ajb2.1559,Light availability influences the intensity of nectar robbery and its effects on reproduction in a tropical shrub via multiple pathways,2020,Gordon M. Fitch; John H. Vandermeer,American Journal of Botany,OpenAlex,Q1|Q2|Q4|Q5,OpenAlex:https://openalex.org/W3104024735,https://doi.org/10.1002/ajb2.1559,4
bib_2673b1025e35a810,doi:10.1002/ajb2.16001,10.1002/ajb2.16001,Architectural effects regulate resource allocation within the inflorescences with nonlinear blooming patterns,2022,Hao Wang; Zhiqiang Zhang; Bo Zhang; Liping Wang; Wen Guo; Ye Fang; Qingjun Li,American Journal of Botany,OpenAlex,Q4|Q5|Q7,OpenAlex:https://openalex.org/W4280525327,https://doi.org/10.1002/ajb2.16001,3
bib_e06a35d282f0ae17,doi:10.1002/ajb2.16098,10.1002/ajb2.16098,Intrafloral patterns of color and scent in Capparis spinosa L. and the ghosts of its selection past,2022,Aphrodite Kantsa; Jair E. García; Robert A. Raguso; Adrian G. Dyer; Ronny Steen; Thomas Tscheulin; Theodora Petanidou,American Journal of Botany,OpenAlex,Q5|Q6|Q7,OpenAlex:https://openalex.org/W4308890670,https://doi.org/10.1002/ajb2.16098,3
bib_839ebc18b34b7acf,doi:10.1002/ajb2.1613,10.1002/ajb2.1613,Nectar addition changes pollinator behavior but not plant reproduction in pollen‐rewarding Lupinus argenteus,2021,Jacob M. Heiling; Judith L. Bronstein; Rebecca E. Irwin,American Journal of Botany,OpenAlex,Q6,OpenAlex:https://openalex.org/W3132753640,https://doi.org/10.1002/ajb2.1613,1
bib_57ca48a689e64aa3,doi:10.1002/ajb2.16186,10.1002/ajb2.16186,Among‐species variation in flower size determines florivory in the largest tropical wetland,2023,Gabriela Ortiz; Yasmin Columbano; Maicon Velasco de Melo; Maria Gabriela Boaventura; Camila Aoki; Tatiana Cornelissen; Camila Silveira Souza; Alberto L. Teixido,American Journal of Botany,OpenAlex,Q4,OpenAlex:https://openalex.org/W4376573794,https://doi.org/10.1002/ajb2.16186,1
bib_0c1b1917de3f8bf7,doi:10.1002/ajb2.16190,10.1002/ajb2.16190,Pollinators differ in their contribution to the male fitness of a self‐incompatible composite,2023,Avery Elizabeth Pearson; Zeke Zelman; Lauryn A. Hill; Mia A. Stevens; Evan X. Jackson; Miyauna M. N. Incarnato; Ren M. Johnson; Stuart Wagenius; Jennifer L. Ison,American Journal of Botany,OpenAlex,Q5,OpenAlex:https://openalex.org/W4379966181,https://doi.org/10.1002/ajb2.16190,1
bib_abe52a567c053752,doi:10.1002/ajb2.1700,10.1002/ajb2.1700,Incomplete reproductive isolation and low genetic differentiation despite floral divergence across varying geographic scales in Castilleja,2021,Katherine E. Wenzell; Angela McDonnell; Norman J. Wickett; Jeremie Benjamin Fant; Krissa A. Skogen,American Journal of Botany,OpenAlex,Q1|Q5,OpenAlex:https://openalex.org/W3185763802,https://doi.org/10.1002/ajb2.1700,2
bib_a449a7f910786fce,doi:10.1002/ajb2.1826,10.1002/ajb2.1826,"Habitat effects on reproductive phenotype, pollinator behavior, fecundity, and mating outcomes of a bumble bee–pollinated herb",2022,Hao Tian; Lawrence D. Harder; Aiying Wang; Da‐Yong Zhang; Wan‐Jin Liao,American Journal of Botany,OpenAlex,Q4|Q5,OpenAlex:https://openalex.org/W4214829672,https://doi.org/10.1002/ajb2.1826,2
bib_ba9f652e4967f0a6,doi:10.1002/cbdv.202201139,10.1002/cbdv.202201139,Floral Phytochemistry: Impact of Volatile Organic Compounds and Nectar Secondary Metabolites on Pollinator Behavior and Health,2023,Filip Slavković; Abdelhafid Bendahmane,Chemistry & Biodiversity,OpenAlex,Q4|Q6|Q7,OpenAlex:https://openalex.org/W4361191195,https://doi.org/10.1002/cbdv.202201139,3
bib_ec1bd0f30add1c1c,doi:10.1002/ece3.10228,10.1002/ece3.10228,"Trait matching in a multi‐species geographic mosaic of leafflower plants, brood pollinators, and cheaters",2023,Kai Hao; Tingting Liu; David H. Hembry; Shi‐Xiao Luo,Ecology and Evolution,OpenAlex,Q5|Q6,OpenAlex:https://openalex.org/W4383067658,https://doi.org/10.1002/ece3.10228,2
bib_c10d1888842ae962,doi:10.1002/ece3.10473,10.1002/ece3.10473,Morphological diversity and altitudinal differentiation of Aethopyga species,2023,Wen-Zhu Lu; Shimiao Shao; Lingling Zu; Xu Luo; Yubao Duan,Ecology and Evolution,OpenAlex,Q1|Q6,OpenAlex:https://openalex.org/W4386269715,https://doi.org/10.1002/ece3.10473,2
bib_a3a6203ff99a00d7,doi:10.1002/ece3.10617,10.1002/ece3.10617,Bumblebee responses to variation in pollinator‐attracting traits of Vicia faba flowers,2023,Emily J. Bailes; Jake Moscrop; Sarah L. Mitchell; Matthew Dorling; Tom Wood; Jane E. Thomas; Beverley J. Glover,Ecology and Evolution,OpenAlex,Q3|Q4|Q5|Q6,OpenAlex:https://openalex.org/W4388595783,https://doi.org/10.1002/ece3.10617,4
bib_eb2dc6bedf375e13,doi:10.1002/ece3.10630,10.1002/ece3.10630,Is there silicon in flowers and what does it tell us?,2023,Jonas Schoelynck; Petra De Block; Eva Van Dyck; J. Robert Cooke,Ecology and Evolution,OpenAlex,Q4,OpenAlex:https://openalex.org/W4387711023,https://doi.org/10.1002/ece3.10630,1
bib_f87b458ec580ed60,doi:10.1002/ece3.10714,10.1002/ece3.10714,Nectar robbing by bees affects the reproductive fitness of the distylous plant Tirpitzia sinensis (Linaceae),2023,Xiaoyue Wang; Renxiu Yao; Xiaoqin Lv; Yin Yi; Xiaoxin Tang,Ecology and Evolution,OpenAlex,Q3|Q4,OpenAlex:https://openalex.org/W4388595741,https://doi.org/10.1002/ece3.10714,2
