frame_id,title,openalex_ids,openalex_types,provider_ids_missing,document_type_state
bib_285f0c14fc0f16a3,Consequences of secondary nectar robbing for male components of plant reproduction,W2804358489,article,,RETAINED_PRIMARY_OR_UNRESOLVED_TYPE
bib_c5d86de6097c10d1,Consequences of multiple flower–insect interactions for subsequent plant–insect interactions and plant reproduction,W2898664981,article,,RETAINED_PRIMARY_OR_UNRESOLVED_TYPE
bib_6d52910902151bfe,Light availability influences the intensity of nectar robbery and its effects on reproduction in a tropical shrub via multiple pathways,W3104024735,article,,RETAINED_PRIMARY_OR_UNRESOLVED_TYPE
bib_ba9f652e4967f0a6,Floral Phytochemistry: Impact of Volatile Organic Compounds and Nectar Secondary Metabolites on Pollinator Behavior and Health,W4361191195,article,,RETAINED_PRIMARY_OR_UNRESOLVED_TYPE
bib_80efe9320e3042aa,Phenotypic selection on flowering phenology and pollination efficiency traits between Primula populations with different pollinator assemblages,W2750484439,article,,RETAINED_PRIMARY_OR_UNRESOLVED_TYPE
bib_96d70e34611cec03,Study on Floral Syndrome and Breeding System of an Endangered Species Rhododendron nymphaeoides,W7116959948,article,,RETAINED_PRIMARY_OR_UNRESOLVED_TYPE
bib_590f6b0d1ab607fc,Nectar Robbery by Native and Invasive Bumblebees Reduces Floral Rewards but Not Seed Production in Desfontainia fulgens,W7166545956,article,,RETAINED_PRIMARY_OR_UNRESOLVED_TYPE
bib_06f3796a44417123,Mutualism and Antagonism in a Post‐Extinction Hawaiian Bird–Lobelioid Pollination System,W7196986504,article,,RETAINED_PRIMARY_OR_UNRESOLVED_TYPE
bib_298cf66f26e33b31,Novel nectar robbing negatively affects reproduction in Digitalis purpurea,W3163315994,article,,RETAINED_PRIMARY_OR_UNRESOLVED_TYPE
bib_b4dba108c4080830,Legitimate visitors and nectar robbers of Aquilegia formosa have different effects on nectar bacterial communities,W2898342007,article,,RETAINED_PRIMARY_OR_UNRESOLVED_TYPE
